,ingredients,explanation,reference
23733,polyglyceryl-10-apricot-kernelate,"[""ExplainedWe don't have a description for Polyglyceryl-10 Apricot Kernelate.""]",[]
23734,rubus-fruticosus-idaeus-extract,"[""ExplainedWe don't have a description for Rubus Fruticosus/Idaeus Extract.""]",[]
23735,rosa-rugosa-stem-extract,"[""ExplainedWe don't have a description for Rosa Rugosa Stem Extract.""]",[]
23736,rubus-arcticus-fruit-water,['ExplainedRubus Arcticus Fruit Water is an antioxidant.'],[]
23737,rubus-idaeus-fruit-water,"[""ExplainedWe don't have a description for Rubus Idaeus Fruit Water.""]",[]
23738,rubia-tinctorum-root,"[""ExplainedWe don't have a description for Rubia Tinctorum Root.""]",[]
23739,rubus-deliciosus-fruit-juice,"[""ExplainedWe don't have a description for Rubus Deliciosus Fruit Juice.""]",[]
23740,rubus-idaeus-bud-extract,"[""ExplainedWe don't have a description for Rubus Idaeus Bud Extract.""]",[]
23741,papaver-somniferum-seed-oil,"[""ExplainedPapaver Somniferum Seed Oil is an oil and isn't fungal acne safe.""]",[]
23742,rubus-idaeus-ursinus-fruit-extract,['ExplainedRubus Idaeus/Ursinus Fruit Extract is an antioxidant.'],[]
23743,russelia-equisetiformis-flower-leaf-stem-extract,"[""ExplainedWe don't have a description for Russelia Equisetiformis Flower/Leaf/Stem Extract.""]",[]
23744,rubus-ribisoideus-fruit-extract,"[""ExplainedWe don't have a description for Rubus Ribisoideus Fruit Extract.""]",[]
23745,s-allylcysteine,"[""ExplainedWe don't have a description for S-Allylcysteine.""]",[]
23746,ruta-graveolens-leaf-extract,['ExplainedRuta Graveolens Leaf Extract is a fragrance.'],[]
23747,s-clostridium-botulinum-decapeptide-2,['ExplainedS-Clostridium Botulinum Decapeptide-2 is a peptide.'],[]
23748,s-glyoxyloyl-acetyl-cysteine,"[""ExplainedWe don't have a description for S-Glyoxyloyl Acetyl Cysteine.""]",[]
23749,s-dna-aptamer-1,['ExplainedS-Dna Aptamer-1 is an antioxidant.'],[]
23750,s-hiv-1-oligopeptide-2-sp,['ExplainedS-Hiv-1 Oligopeptide-2 Sp is a peptide.'],[]
23751,s-hiv-1-oligopeptide-5-sp,['ExplainedS-Hiv-1 Oligopeptide-5 Sp is a peptide.'],[]
23752,s-lactoylglutathione,"[""ExplainedWe don't have a description for S-Lactoylglutathione.""]",[]
23753,phellinus-linteus-inonotus-obliquus-extract-ferment-water,['ExplainedPhellinus Linteus/Inonotus Obliquus Extract Ferment Water is an antioxidant.'],[]
23754,s-mussel-polypeptide-1,['ExplainedS-Mussel Polypeptide-1 is a peptide.'],[]
23755,s-octopus-pentapeptide-1-sp,['ExplainedS-Octopus Pentapeptide-1 Sp is an antioxidant and is a peptide.'],[]
23756,s-olivoyl-glutathione,['ExplainedS-Olivoyl Glutathione is an antioxidant.'],[]
23757,s-spider-oligopeptide-1,['ExplainedS-Spider Oligopeptide-1 is a peptide.'],[]
23758,s-syringoyl-acetyl-ethyl-cysteinate,"[""ExplainedWe don't have a description for S-Syringoyl Acetyl Ethyl Cysteinate.""]",[]
23759,tripterygium-wilfordii-root-extract,"[""ExplainedWe don't have a description for Tripterygium Wilfordii Root Extract.""]",[]
23760,saccharomyces-lysate-extract-filtrate,"[""ExplainedWe don't have a description for Saccharomyces Lysate Extract Filtrate.""]",[]
23761,saccharina-angustata-extract,"[""ExplainedWe don't have a description for Saccharina Angustata Extract.""]",[]
23762,saccharina-japonica-extract,"[""ExplainedWe don't have a description for Saccharina Japonica Extract.""]",[]
23763,saccharomyces-collagen-hydrolyzed-panax-ginseng-root-extract-ferment,['ExplainedSaccharomyces/(Collagen/Hydrolyzed Panax Ginseng Root Extract) Ferment is an antioxidant. It can help to reduce the effects of aging.'],[]
23764,saccharomyces-rice-kernel-ferment,"[""ExplainedWe don't have a description for Saccharomyces/Rice Kernel Ferment.""]",[]
23765,saccharomyces-acanthopanax-sessiliflorus-extract-ferment-filtrate,['ExplainedSaccharomyces/Acanthopanax Sessiliflorus Extract Ferment Filtrate is an antioxidant.'],[]
23766,saccharomyces-gold-ferment,"[""ExplainedWe don't have a description for Saccharomyces/Gold Ferment.""]",[]
23767,saccharomyces-allium-sativum-bulb-ferment-filtrate,"[""ExplainedWe don't have a description for Saccharomyces/Allium Sativum Bulb Ferment Filtrate.""]",[]
23768,saccharomyces-angelica-dahurica-root-ferment-extract,"[""ExplainedWe don't have a description for Saccharomyces/Angelica Dahurica Root Ferment Extract.""]",[]
23769,saccharomyces-apple-fruit-melon-fruit-sucrose-ferment-filtrate,"[""ExplainedWe don't have a description for Saccharomyces/Apple Fruit/Melon Fruit/Sucrose Ferment Filtrate.""]",[]
23770,saccharomyces-apple-fruit-sweet-cherry-fruit-sucrose-ferment-filtrate,"[""ExplainedWe don't have a description for Saccharomyces/Apple Fruit/Sweet Cherry Fruit/Sucrose Ferment Filtrate.""]",[]
23771,sh-oligopeptide-82,['ExplainedSh-Oligopeptide-82 is a peptide.'],[]
23772,triethylammonium-dmpa-ipdi-copolymer,"[""ExplainedWe don't have a description for Triethylammonium Dmpa/Ipdi Copolymer.""]",[]
23773,saccharomyces-artemisia-princeps-leaf-ferment-filtrate,"[""ExplainedWe don't have a description for Saccharomyces/Artemisia Princeps Leaf Ferment Filtrate.""]",[]
23774,saccharomyces-boswellia-serrata-gum-ferment-extract,"[""ExplainedWe don't have a description for Saccharomyces/Boswellia Serrata Gum Ferment Extract.""]",[]
23775,olea-europaea-fruit,"['ExplainedOlea Europaea Fruit comes from the olive fruit.It is an exfoliant. Exfoliators help remove dead cells from the surface of your skin. If you are using an exfoliating ingredient, it is best to use sunscreen after. Exfoliators may make the skin more sensitive to the sun and susceptible to sun-damage.']",[]
23776,oxidized-microcrystalline-cera,"[""ExplainedWe don't have a description for Oxidized Microcrystalline Cera.""]",[]
23777,saccharomyces-cynomorium-coccineum-ferment-filtrate,"[""ExplainedWe don't have a description for Saccharomyces/Cynomorium Coccineum Ferment Filtrate.""]",[]
23778,saccharomyces-defatted-rice-bran-ferment,"[""ExplainedWe don't have a description for Saccharomyces/Defatted Rice Bran Ferment.""]",[]
23779,saccharomyces-germanium-ferment,"[""ExplainedWe don't have a description for Saccharomyces/Germanium Ferment.""]",[]
23780,saccharomyces-hexapeptide-11-ferment-filtrate-extract,['ExplainedSaccharomyces/Hexapeptide-11 Ferment Filtrate Extract is a peptide.'],[]
23781,saccharomyces-sea-salt-ferment,['ExplainedSaccharomyces/Sea Salt Ferment can be bad for dry skin.'],[]
23782,triethylenetetramine-hcl,"[""ExplainedWe don't have a description for Triethylenetetramine Hcl.""]",[]
23783,saccharomyces-grape-ferment-filtrate-extract,['ExplainedSaccharomyces/Grape Ferment Filtrate Extract is an antioxidant.'],[]
23784,sargachromanol-e,"[""ExplainedWe don't have a description for Sargachromanol E.""]",[]
23785,saccharomyces-hydrolyzed-germinated-rice-grain-ferment-filtrate,"[""ExplainedWe don't have a description for Saccharomyces/Hydrolyzed Germinated Rice Grain Ferment Filtrate.""]",[]
23786,saccharomyces-grape-lees-ferment-filtrate,"[""ExplainedWe don't have a description for Saccharomyces/Grape Lees Ferment Filtrate.""]",[]
23787,saccharomyces-hydrolyzed-rice-bran-ferment-filtrate,"[""ExplainedWe don't have a description for Saccharomyces/Hydrolyzed Rice Bran Ferment Filtrate.""]",[]
23788,saccharomyces-ipomoea-batatas-ferment-extract,"[""ExplainedWe don't have a description for Saccharomyces/Ipomoea Batatas Ferment Extract.""]",[]
23789,peg-20-castor-oil,['ExplainedPeg-20 Castor Oil is an oil.'],[]
23790,saccharomyces-juniperus-communis-seed-water-ferment-filtrate,"[""ExplainedWe don't have a description for Saccharomyces/Juniperus Communis Seed Water Ferment Filtrate.""]",[]
23791,saccharomyces-lilium-candidum-callus-extract-ferment-extract-filtrate,['ExplainedSaccharomyces/Lilium Candidum Callus Extract Ferment Extract Filtrate is an antioxidant.'],[]
23792,saccharomyces-linseed-oil-ferment-filtrate,['ExplainedSaccharomyces/Linseed Oil Ferment Filtrate is an oil.'],[]
23793,salix-gracilistyla-stem-extract,['ExplainedSalix Gracilistyla Stem Extract is an antioxidant.'],[]
23794,phellinus-linteus-inonotus-obliquus-extract-ferment-filtrate,"[""ExplainedWe don't have a description for Phellinus Linteus/Inonotus Obliquus Extract Ferment Filtrate.""]",[]
23795,saccharomyces-magnesium-ferment-lysate-filtrate,"[""ExplainedWe don't have a description for Saccharomyces/Magnesium Ferment Lysate Filtrate.""]",[]
23796,saccharomyces-lavender-flower-leaf-stem-extract-ferment-filtrate,['ExplainedSaccharomyces/Lavender Flower/Leaf/Stem Extract Ferment Filtrate is an antioxidant.'],[]
23797,saccharomyces-melon-fruit-sucrose-ferment-filtrate,"[""ExplainedWe don't have a description for Saccharomyces/Melon Fruit/Sucrose Ferment Filtrate.""]",[]
23798,saccharomyces-magnesium-ferment-hydrolysate,"[""ExplainedWe don't have a description for Saccharomyces/Magnesium Ferment Hydrolysate.""]",[]
23799,saccharomyces-moringa-oleifera-seed-oil-glycerin-ferment-filtrate,['ExplainedSaccharomyces/Moringa Oleifera Seed Oil/Glycerin Ferment Filtrate is an oil.'],[]
23800,saccharomyces-perilla-ocymoides-leaf-rice-ziziphus-jujuba-fruit-ferment-filtrate,"[""ExplainedWe don't have a description for Saccharomyces/Perilla Ocymoides Leaf/Rice/Ziziphus Jujuba Fruit Ferment Filtrate.""]",[]
23801,saccharomyces-poria-cocos-sclerotium-ferment-extract,['ExplainedSaccharomyces/Poria Cocos Sclerotium Ferment Extract is an antioxidant.'],[]
23802,saccharomyces-potassium-ferment-hydrolysate,"[""ExplainedWe don't have a description for Saccharomyces/Potassium Ferment Hydrolysate.""]",[]
23803,saccharomyces-prunus-yedoensis-bark-extract-ferment-filtrate,['ExplainedSaccharomyces/Prunus Yedoensis Bark Extract Ferment Filtrate is an antioxidant.'],[]
23804,ethylhexyl-laurate,"[""ExplainedWe don't have a description for Ethylhexyl Laurate.""]",[]
23805,saccharomyces-rehmannia-glutinosa-root-ferment-extract,['ExplainedSaccharomyces/Rehmannia Glutinosa Root Ferment Extract is an antioxidant.'],[]
23806,saccharomyces-rice-ferment-lipids,"[""ExplainedWe don't have a description for Saccharomyces/Rice Ferment Lipids.""]",[]
23807,saccharomyces-rubus-coreanus-fruit-ferment-filtrate,"[""ExplainedWe don't have a description for Saccharomyces/Rubus Coreanus Fruit Ferment Filtrate.""]",[]
23808,benzyl-valerate,['ExplainedBenzyl Valerate is a fragrance.'],[]
23809,saccharomyces-sophora-japonica-bud-ferment-filtrate,"[""ExplainedWe don't have a description for Saccharomyces/Sophora Japonica Bud Ferment Filtrate.""]",[]
23810,saccharomyces-swiftlet-nest-ferment-filtrate,"[""ExplainedWe don't have a description for Saccharomyces/Swiftlet Nest Ferment Filtrate.""]",[]
23811,sahel-scenedesmus-extract,"[""ExplainedWe don't have a description for Sahel Scenedesmus Extract.""]",[]
23812,saccharomyces-triticum-aestivum-seed-ferment-extract,['ExplainedSaccharomyces/Triticum Aestivum Seed Ferment Extract is an antioxidant.'],[]
23813,saccharomyces-wheat-germ-ferment-filtrate,['ExplainedSaccharomyces/Wheat Germ Ferment Filtrate is an antioxidant.'],[]
23814,safflower-seed-oil-peg-8-esters,['ExplainedSafflower Seed Oil Peg-8 Esters is an oil.'],[]
23815,safflower-seed-oil-polyglyceryl-6-esters,['ExplainedSafflower Seed Oil Polyglyceryl-6 Esters is an oil.'],[]
23816,sec-butyl-alcohol,"[""ExplainedWe don't have a description for Sec-Butyl Alcohol.""]",[]
23817,salacia-reticulata-root-extract,"[""ExplainedWe don't have a description for Salacia Reticulata Root Extract.""]",[]
23818,salix-alba-bark-powder,['ExplainedSalix Alba Bark Powder is a BHA and is an exfoliant. It can help to reduce large pores. It can be bad for dry skin and worsen rosacea.'],[]
23819,safflower-seed-oil-decyl-esters,['ExplainedSafflower Seed Oil Decyl Esters is an oil.'],[]
23820,salacia-reticulata-wood-extract,"[""ExplainedWe don't have a description for Salacia Reticulata Wood Extract.""]",[]
23821,salicyloyl-octapeptide-32,['ExplainedSalicyloyl Octapeptide-32 is a peptide.'],[]
23822,salix-fragilis-bark-extract,"[""ExplainedWe don't have a description for Salix Fragilis Bark Extract.""]",[]
23823,sodium-decyl-sulfate,['ExplainedSodium Decyl Sulfate is a type of sulfate.'],[]
23824,salvia-hispanica-seed-powder,['ExplainedSalvia Hispanica Seed Powder is an exfoliant.'],[]
23825,salix-tetrasperma-bark-extract,"[""ExplainedWe don't have a description for Salix Tetrasperma Bark Extract.""]",[]
23826,salvia-lavandulifolia-leaf-oil,['ExplainedSalvia Lavandulifolia Leaf Oil is an oil.'],[]
23827,salvia-sclarea-flower-leaf-stem-wax,"[""ExplainedWe don't have a description for Salvia Sclarea Flower/Leaf/Stem Wax.""]",[]
23828,sh-hexapeptide-6-sp-amide,['ExplainedSh-Hexapeptide-6 Sp Amide is an antioxidant and is a peptide.'],[]
23829,salvianolic-acid-b,"[""ExplainedWe don't have a description for Salvianolic Acid B.""]",[]
23830,salvia-sclarea-flower-leaf-stem-oil,['ExplainedSalvia Sclarea Flower/Leaf/Stem Oil is an oil.'],[]
23831,sambucus-nigra-bud-extract,['ExplainedSambucus Nigra Bud Extract is an antioxidant.'],[]
23832,sambucus-nigra-flower-juice,"[""ExplainedWe don't have a description for Sambucus Nigra Flower Juice.""]",[]
23833,sanguisorba-minor-extract,['ExplainedSanguisorba Minor Extract is an antioxidant.'],[]
23834,santalum-paniculatum-wood-water,['ExplainedSantalum Paniculatum Wood Water is a preservative.'],[]
23835,santalum-spicatum-wood-water,"[""ExplainedWe don't have a description for Santalum Spicatum Wood Water.""]",[]
23836,santalyl-acetate,['ExplainedSantalyl Acetate is a fragrance.'],[]
23837,butyl-benzoic-acid-phthalic-anhydride-trimethylolethane-copolymer,"[""ExplainedWe don't have a description for Butyl Benzoic Acid/Phthalic Anhydride/Trimethylolethane Copolymer.""]",[]
23838,sargassum-serratifolium-extract,['ExplainedSargassum Serratifolium Extract is an antioxidant.'],[]
23839,saponaria-officinalis-leaf-root-stem-powder,"[""ExplainedWe don't have a description for Saponaria Officinalis Leaf/Root/Stem Powder.""]",[]
23840,sarcodiotheca-gaudichaudii-extract,['ExplainedSarcodiotheca Gaudichaudii Extract is an antioxidant.'],[]
23841,sargassum-thunbergii-extract,"[""ExplainedWe don't have a description for Sargassum Thunbergii Extract.""]",[]
23842,sasa-kurilensis-leaf-stem-extract,"[""ExplainedWe don't have a description for Sasa Kurilensis Leaf/Stem Extract.""]",[]
23843,sasa-palmata-leaf-extract,"[""ExplainedWe don't have a description for Sasa Palmata Leaf Extract.""]",[]
23844,sasa-quelpaertensis-leaf-stem-extract,"[""ExplainedWe don't have a description for Sasa Quelpaertensis Leaf/Stem Extract.""]",[]
23845,sasa-veitchii,"[""ExplainedWe don't have a description for Sasa Veitchii.""]",[]
23846,sassafras-officinale-bark-root-extract,"[""ExplainedWe don't have a description for Sassafras Officinale Bark/Root Extract.""]",[]
23847,satureja-hortensis-leaf-extract,"[""ExplainedWe don't have a description for Satureja Hortensis Leaf Extract.""]",[]
23848,satureja-montana-extract,"[""ExplainedWe don't have a description for Satureja Montana Extract.""]",[]
23849,saururus-chinensis-root-extract,"[""ExplainedWe don't have a description for Saururus Chinensis Root Extract.""]",[]
23850,trifluoromethyl-dehydrolatanoprost,"[""ExplainedWe don't have a description for Trifluoromethyl Dehydrolatanoprost.""]",[]
23851,saxifraga-oppositifolia-extract,"[""ExplainedWe don't have a description for Saxifraga Oppositifolia Extract.""]",[]
23852,saxifraga-stolonifera-water,"[""ExplainedWe don't have a description for Saxifraga Stolonifera Water.""]",[]
23853,scenedesmus-deserticola-extract,"[""ExplainedWe don't have a description for Scenedesmus Deserticola Extract.""]",[]
23854,schinus-terebinthifolia-seed-oil,['ExplainedSchinus Terebinthifolia Seed Oil is an oil.'],[]
23855,schist,['ExplainedSchist is an exfoliant.'],[]
23856,schizothrix-calciciola-extract,"[""ExplainedWe don't have a description for Schizothrix Calciciola Extract.""]",[]
23857,hydrolyzed-inonotus-obliquus-extract,"[""ExplainedWe don't have a description for Hydrolyzed Inonotus Obliquus Extract.""]",[]
23858,papaver-orientale-seed-oil,"[""ExplainedPapaver Orientale Seed Oil is an oil and isn't fungal acne safe.""]",[]
23859,panax-ginseng-meristem-cell-culture,['ExplainedPanax Ginseng Meristem Cell Culture is an antioxidant.'],[]
23860,rosa-rubiginosa-fruit-extract,"[""ExplainedWe don't have a description for Rosa Rubiginosa Fruit Extract.""]",[]
23861,rose-ketone-3,['ExplainedRose Ketone-3 is a fragrance.'],[]
23862,pyrenaria-buisanensis-leaf-extract,"[""ExplainedWe don't have a description for Pyrenaria Buisanensis Leaf Extract.""]",[]
23863,pyridinedicarboxylic-acid,"[""ExplainedWe don't have a description for Pyridinedicarboxylic Acid.""]",[]
23864,phytosteryl-hydroxystearate,"[""ExplainedWe don't have a description for Phytosteryl Hydroxystearate.""]",[]
23865,tea-lauraminopropionate,"[""ExplainedWe don't have a description for Tea-Lauraminopropionate.""]",[]
23866,pyroglutamylamidoethyl-indole,"[""ExplainedWe don't have a description for Pyroglutamylamidoethyl Indole.""]",[]
23867,pyrophyllite,['ExplainedPyrophyllite is an exfoliant.'],[]
23868,pyrrolidinyl-diaminopyrimidine-oxide,"[""ExplainedWe don't have a description for Pyrrolidinyl Diaminopyrimidine Oxide.""]",[]
23869,pyrus-pyrifolia-fruit-juice,"[""ExplainedWe don't have a description for Pyrus Pyrifolia Fruit Juice.""]",[]
23870,quercus-petraea-sap,['ExplainedQuercus Petraea Sap is an antioxidant.'],[]
23871,pyrus-cydonia-peel-fruit-wax,"[""ExplainedWe don't have a description for Pyrus Cydonia Peel/Fruit Wax.""]",[]
23872,sh-polypeptide-94,['ExplainedSh-Polypeptide-94 is a peptide.'],[]
23873,pyrus-germanica-extract,"[""ExplainedWe don't have a description for Pyrus Germanica Extract.""]",[]
23874,pyrus-serotina-callus-extract,['ExplainedPyrus Serotina Callus Extract is an antioxidant.'],[]
23875,pythium-oligandrum-ferment,"[""ExplainedWe don't have a description for Pythium Oligandrum Ferment.""]",[]
23876,quaternium-27,"[""ExplainedWe don't have a description for Quaternium-27.""]",[]
23877,trierucin,"[""ExplainedWe don't have a description for Trierucin.""]",[]
23878,quaternium-71,"[""ExplainedWe don't have a description for Quaternium-71.""]",[]
23879,quaternium-77,"[""ExplainedWe don't have a description for Quaternium-77.""]",[]
23880,quaternium-79-hydrolyzed-wheat-protein,"[""ExplainedWe don't have a description for Quaternium-79 Hydrolyzed Wheat Protein.""]",[]
23881,paeonia-lactiflora-leaf-cell-extract,['ExplainedPaeonia Lactiflora Leaf Cell Extract is an antioxidant.'],[]
23882,quaternium-81,"[""ExplainedWe don't have a description for Quaternium-81.""]",[]
23883,quaternium-85,"[""ExplainedWe don't have a description for Quaternium-85.""]",[]
23884,quaternium-90,"[""ExplainedWe don't have a description for Quaternium-90.""]",[]
23885,tetramethyl-4-methylene-2-heptanol,['ExplainedTetramethyl-4-Methylene-2-Heptanol is a fragrance.'],[]
23886,quercetagetin,"[""ExplainedWe don't have a description for Quercetagetin.""]",[]
